annee,president,affiliation_president,ministre_interieur,affiliation_ministre,changement_ministre_note
1977,Valéry Giscard d'Estaing,Centre-droit (indépendants),Christian Bonnet,Droite (indépendants),
1978,Valéry Giscard d'Estaing,Centre-droit (indépendants),Christian Bonnet,Droite (indépendants),
1979,Valéry Giscard d'Estaing,Centre-droit (indépendants),Christian Bonnet,Droite (indépendants),
1980,Valéry Giscard d'Estaing,Centre-droit (indépendants),Christian Bonnet,Droite (indépendants),
1981,Valéry Giscard d'Estaing,Centre-droit (indépendants),Christian Bonnet / Gaston Defferre,Droite puis PS,changement en mai 1981 (alternance)
1982,François Mitterrand,Gauche (PS),Gaston Defferre,PS,
1983,François Mitterrand,Gauche (PS),Gaston Defferre,PS,
1984,François Mitterrand,Gauche (PS),Gaston Defferre / Pierre Joxe,PS,changement en juillet 1984
1985,François Mitterrand,Gauche (PS),Pierre Joxe,PS,
1986,François Mitterrand,Gauche (PS),Pierre Joxe / Charles Pasqua,PS puis RPR,changement en mars 1986 (cohabitation)
1987,François Mitterrand,Gauche (PS),Charles Pasqua,Droite (RPR),cohabitation
1988,François Mitterrand,Gauche (PS),Charles Pasqua / Pierre Joxe,RPR puis PS,changement en mai 1988
1989,François Mitterrand,Gauche (PS),Pierre Joxe,PS,
1990,François Mitterrand,Gauche (PS),Pierre Joxe,PS,
1991,François Mitterrand,Gauche (PS),Pierre Joxe / Philippe Marchand,PS,changement en janvier 1991
1992,François Mitterrand,Gauche (PS),Philippe Marchand / Paul Quilès,PS,changement en avril 1992
1993,François Mitterrand,Gauche (PS),Paul Quilès / Charles Pasqua,PS puis RPR,changement en mars 1993 (cohabitation)
1994,François Mitterrand,Gauche (PS),Charles Pasqua,Droite (RPR),cohabitation
1995,François Mitterrand,Gauche (PS),Charles Pasqua / Jean-Louis Debré,RPR,changement en mai 1995
1996,Jacques Chirac,Droite (RPR puis UMP),Jean-Louis Debré,RPR,
1997,Jacques Chirac,Droite (RPR puis UMP),Jean-Louis Debré / Jean-Pierre Chevènement,RPR puis MDC (gauche),changement en juin 1997 (cohabitation)
1998,Jacques Chirac,Droite (RPR puis UMP),Jean-Pierre Chevènement,Gauche (MDC),cohabitation
1999,Jacques Chirac,Droite (RPR puis UMP),Jean-Pierre Chevènement,Gauche (MDC),cohabitation
2000,Jacques Chirac,Droite (RPR puis UMP),Jean-Pierre Chevènement / Daniel Vaillant,MDC puis PS,changement en août 2000
2001,Jacques Chirac,Droite (RPR puis UMP),Daniel Vaillant,PS,cohabitation
2002,Jacques Chirac,Droite (RPR puis UMP),Daniel Vaillant / Nicolas Sarkozy,PS puis UMP,changement en mai 2002
2003,Jacques Chirac,Droite (RPR puis UMP),Nicolas Sarkozy,UMP,
2004,Jacques Chirac,Droite (RPR puis UMP),Nicolas Sarkozy / Dominique de Villepin,UMP,changement en mars 2004
2005,Jacques Chirac,Droite (RPR puis UMP),Dominique de Villepin / Nicolas Sarkozy,UMP,changement en juin 2005
2006,Jacques Chirac,Droite (RPR puis UMP),Nicolas Sarkozy,UMP,
2007,Jacques Chirac,Droite (RPR puis UMP),Nicolas Sarkozy / François Baroin / Michèle Alliot-Marie,UMP,changements mars et mai 2007
2008,Nicolas Sarkozy,Droite (UMP),Michèle Alliot-Marie,UMP,
2009,Nicolas Sarkozy,Droite (UMP),Michèle Alliot-Marie / Brice Hortefeux,UMP,changement en juin 2009
2010,Nicolas Sarkozy,Droite (UMP),Brice Hortefeux,UMP,
2011,Nicolas Sarkozy,Droite (UMP),Brice Hortefeux / Claude Guéant,UMP,changement en février 2011
2012,Nicolas Sarkozy,Droite (UMP),Claude Guéant / Manuel Valls,UMP puis PS,changement en mai 2012 (alternance)
2013,François Hollande,Gauche (PS),Manuel Valls,PS,
2014,François Hollande,Gauche (PS),Manuel Valls / Bernard Cazeneuve,PS,changement en avril 2014
2015,François Hollande,Gauche (PS),Bernard Cazeneuve,PS,
2016,François Hollande,Gauche (PS),Bernard Cazeneuve / Bruno Le Roux,PS,changement en décembre 2016
2017,François Hollande,Gauche (PS),Bruno Le Roux / Matthias Fekl / Gérard Collomb,PS puis LREM,changements mars et mai 2017 (alternance)
2018,Emmanuel Macron,Centre (LREM/Renaissance),Gérard Collomb / Christophe Castaner,LREM,changement en octobre 2018
2019,Emmanuel Macron,Centre (LREM/Renaissance),Christophe Castaner,LREM,
2020,Emmanuel Macron,Centre (LREM/Renaissance),Christophe Castaner / Gérald Darmanin,LREM,changement en juillet 2020
2021,Emmanuel Macron,Centre (LREM/Renaissance),Gérald Darmanin,LREM,
2022,Emmanuel Macron,Centre (LREM/Renaissance),Gérald Darmanin,Renaissance,
2023,Emmanuel Macron,Centre (LREM/Renaissance),Gérald Darmanin,Renaissance,
2024,Emmanuel Macron,Centre (LREM/Renaissance),Gérald Darmanin / Bruno Retailleau,Renaissance puis LR,changement en septembre 2024
2025,Emmanuel Macron,Centre (LREM/Renaissance),Bruno Retailleau / Laurent Nuñez,LR puis Renaissance,changement en octobre 2025
2026,Emmanuel Macron,Centre (LREM/Renaissance),Laurent Nuñez,Renaissance,
